                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     69,                  1.029,                0.97037,                0.90146,                0.88781,                0.33333,                0.71903,                0.38553,                 2.0664,                 3.2041,                 1.2687,             0.00014822,             0.00014822,             0.00014822
                     70,                0.82512,                 1.0921,                0.86072,                0.88781,                0.33333,                0.71903,                0.38553,                 2.0664,                 3.2041,                 1.2687,             0.00014585,             0.00014585,             0.00014585
                     71,                 0.9313,                 1.0593,                0.94169,                0.88781,                0.33333,                0.71903,                0.38553,                 2.0664,                 3.2041,                 1.2687,             0.00014334,             0.00014334,             0.00014334
                     72,                0.97809,                 1.0445,                0.92017,                0.86987,                0.33333,                0.71795,                0.40269,                 1.8999,                 3.1272,                 1.1337,              0.0001407,              0.0001407,              0.0001407
                     73,                0.73391,                0.91353,                0.87377,                0.86987,                0.33333,                0.71795,                0.40269,                 1.8999,                 3.1272,                 1.1337,             0.00013792,             0.00013792,             0.00013792
                     74,                 1.1077,                 1.0895,                 0.9133,                0.86987,                0.33333,                0.71795,                0.40269,                 1.8999,                 3.1272,                 1.1337,             0.00013502,             0.00013502,             0.00013502
                     75,                0.80187,                0.87494,                0.86949,                0.93563,                0.33333,                0.71903,                0.39019,                   1.71,                 3.0795,                 1.0171,             0.00013198,             0.00013198,             0.00013198
                     76,                 0.6971,                0.92377,                0.90417,                0.93563,                0.33333,                0.71903,                0.39019,                   1.71,                 3.0795,                 1.0171,             0.00012881,             0.00012881,             0.00012881
                     77,                0.80159,                0.98612,                 0.9012,                0.93563,                0.33333,                0.71903,                0.39019,                   1.71,                 3.0795,                 1.0171,             0.00012551,             0.00012551,             0.00012551
                     78,                0.84339,                0.87164,                0.85356,                0.84702,                0.33333,                 0.7203,                0.42546,                 1.6482,                 3.0382,                0.98391,             0.00012208,             0.00012208,             0.00012208
                     79,                0.87997,                0.97105,                0.90806,                0.84702,                0.33333,                 0.7203,                0.42546,                 1.6482,                 3.0382,                0.98391,             0.00011852,             0.00011852,             0.00011852
                     80,                 1.1359,                 1.1427,                 0.9183,                0.84702,                0.33333,                 0.7203,                0.42546,                 1.6482,                 3.0382,                0.98391,             0.00011482,             0.00011482,             0.00011482
                     81,                0.84258,                 1.0431,                 0.9311,                0.84315,                0.33333,                0.72183,                0.42674,                 1.6357,                 3.0003,                0.97614,             0.00011099,             0.00011099,             0.00011099
                     82,                 0.9085,                0.91012,                0.90755,                0.84315,                0.33333,                0.72183,                0.42674,                 1.6357,                 3.0003,                0.97614,             0.00010703,             0.00010703,             0.00010703
                     83,                0.71376,                0.81341,                 0.8662,                0.84315,                0.33333,                0.72183,                0.42674,                 1.6357,                 3.0003,                0.97614,             0.00010293,             0.00010293,             0.00010293
                     84,                  1.024,                 1.0245,                0.93127,                0.87474,                0.33333,                0.72183,                 0.4361,                 1.6295,                 2.9535,                 0.9776,             9.8709e-05,             9.8709e-05,             9.8709e-05
                     85,                 0.9471,                0.93133,                0.85198,                0.87474,                0.33333,                0.72183,                 0.4361,                 1.6295,                 2.9535,                 0.9776,             9.4351e-05,             9.4351e-05,             9.4351e-05
                     86,                0.81681,                0.90171,                 0.8938,                0.87474,                0.33333,                0.72183,                 0.4361,                 1.6295,                 2.9535,                 0.9776,             8.9862e-05,             8.9862e-05,             8.9862e-05
